load word frequency mapping - complete
loaded tensor torch.Size([798949912])
loaded tensor torch.Size([30301027, 2])
#sentences 30301027
load train data - complete
#sentences 6073
load test data - complete
Batch Size: 1024 Initial LR: 0.004
Random Initialization - No Saved Model
8192 Dense CMS torch.Size([8192, 51])
8192 Dense CMS torch.Size([8192, 409])
8192 Dense CMS torch.Size([8192, 1])
8192 Dense CMS torch.Size([8192, 1])
256 Dense CMS torch.Size([256, 409])
256 Dense CMS torch.Size([256, 1])
793471 CMS torch.Size([3, 52898, 256])
793471 CMS torch.Size([3, 52898, 256])
793471 Dense CMS torch.Size([793471, 1])
Epoch:   1 | 16375/39011 batches | lr 0.003664 | ms/batch 546.83 | loss  3.55 | ppl    34.64
Epoch:   1 | 16500/39011 batches | lr 0.003662 | ms/batch 547.18 | loss  3.56 | ppl    35.11
Epoch:   1 | 16625/39011 batches | lr 0.003659 | ms/batch 548.32 | loss  3.50 | ppl    33.28
Epoch:   1 | 16750/39011 batches | lr 0.003656 | ms/batch 544.91 | loss  3.57 | ppl    35.67
Epoch:   1 | 16875/39011 batches | lr 0.003654 | ms/batch 547.59 | loss  3.53 | ppl    34.04
Epoch:   1 | 17000/39011 batches | lr 0.003651 | ms/batch 545.72 | loss  3.53 | ppl    34.25
Epoch:   1 | 17125/39011 batches | lr 0.003649 | ms/batch 545.77 | loss  3.58 | ppl    35.92
Epoch:   1 | 17250/39011 batches | lr 0.003646 | ms/batch 546.51 | loss  3.58 | ppl    35.74
Epoch:   1 | 17375/39011 batches | lr 0.003644 | ms/batch 545.95 | loss  3.55 | ppl    34.69
Epoch:   1 | 17500/39011 batches | lr 0.003641 | ms/batch 543.80 | loss  3.53 | ppl    34.19
Epoch:   1 | 17625/39011 batches | lr 0.003639 | ms/batch 554.79 | loss  3.55 | ppl    34.85
Epoch:   1 | 17750/39011 batches | lr 0.003636 | ms/batch 563.00 | loss  3.54 | ppl    34.32
Epoch:   1 | 17875/39011 batches | lr 0.003633 | ms/batch 553.08 | loss  3.48 | ppl    32.54
Epoch:   1 | 18000/39011 batches | lr 0.003631 | ms/batch 546.58 | loss  3.54 | ppl    34.38
Epoch:   1 | 18125/39011 batches | lr 0.003628 | ms/batch 551.44 | loss  3.57 | ppl    35.61
Epoch:   1 | 18250/39011 batches | lr 0.003626 | ms/batch 548.12 | loss  3.52 | ppl    33.79
Epoch:   1 | 18375/39011 batches | lr 0.003623 | ms/batch 550.42 | loss  3.56 | ppl    35.08
Epoch:   1 | 18500/39011 batches | lr 0.003621 | ms/batch 547.51 | loss  3.53 | ppl    34.22
Epoch:   1 | 18625/39011 batches | lr 0.003618 | ms/batch 571.46 | loss  3.56 | ppl    35.21
Epoch:   1 | 18750/39011 batches | lr 0.003615 | ms/batch 572.60 | loss  3.54 | ppl    34.38
Epoch:   1 | 18875/39011 batches | lr 0.003613 | ms/batch 565.52 | loss  3.51 | ppl    33.60
Epoch:   1 | 19000/39011 batches | lr 0.003610 | ms/batch 552.37 | loss  3.53 | ppl    34.25
