=> creating model 'resnet18'
learning_rate: 0.01
Epoch: [1][500/5005]	Time 0.223 (0.500)	Data 0.000 (0.330)	Loss 3.7164 (3.7652)	Acc@1 26.953 (25.197)	Acc@5 49.219 (47.585)
Epoch: [1][550/5005]	Time 0.223 (0.500)	Data 0.000 (0.331)	Loss 3.6287 (3.7612)	Acc@1 27.734 (25.258)	Acc@5 48.438 (47.678)
Epoch: [1][600/5005]	Time 0.221 (0.498)	Data 0.000 (0.330)	Loss 3.6428 (3.7567)	Acc@1 28.906 (25.292)	Acc@5 53.516 (47.801)
Epoch: [1][650/5005]	Time 0.222 (0.499)	Data 0.000 (0.331)	Loss 3.6508 (3.7541)	Acc@1 26.172 (25.350)	Acc@5 50.781 (47.853)
Epoch: [1][700/5005]	Time 0.221 (0.500)	Data 0.000 (0.332)	Loss 3.7194 (3.7463)	Acc@1 26.953 (25.425)	Acc@5 48.047 (47.986)
Epoch: [1][750/5005]	Time 0.222 (0.500)	Data 0.000 (0.330)	Loss 3.5161 (3.7401)	Acc@1 29.297 (25.517)	Acc@5 54.297 (48.124)
Epoch: [1][800/5005]	Time 0.242 (0.501)	Data 0.000 (0.330)	Loss 3.8479 (3.7361)	Acc@1 25.781 (25.581)	Acc@5 47.656 (48.181)
Epoch: [1][850/5005]	Time 0.223 (0.501)	Data 0.000 (0.330)	Loss 3.6243 (3.7315)	Acc@1 29.297 (25.659)	Acc@5 51.562 (48.274)
Epoch: [1][900/5005]	Time 0.221 (0.501)	Data 0.000 (0.330)	Loss 4.1509 (3.7275)	Acc@1 23.438 (25.711)	Acc@5 40.234 (48.367)
Epoch: [1][950/5005]	Time 0.224 (0.502)	Data 0.000 (0.329)	Loss 3.5442 (3.7217)	Acc@1 28.906 (25.812)	Acc@5 51.953 (48.478)
Epoch: [1][1000/5005]	Time 0.222 (0.502)	Data 0.000 (0.329)	Loss 3.7810 (3.7173)	Acc@1 27.734 (25.877)	Acc@5 49.609 (48.553)
Epoch: [1][1050/5005]	Time 0.222 (0.501)	Data 0.000 (0.327)	Loss 3.6430 (3.7118)	Acc@1 25.781 (25.976)	Acc@5 50.781 (48.638)
Epoch: [1][1100/5005]	Time 0.223 (0.503)	Data 0.000 (0.328)	Loss 3.6336 (3.7073)	Acc@1 26.172 (26.050)	Acc@5 52.344 (48.725)
Epoch: [1][1150/5005]	Time 0.222 (0.503)	Data 0.000 (0.328)	Loss 3.6906 (3.7039)	Acc@1 23.828 (26.096)	Acc@5 50.391 (48.781)
Epoch: [1][1200/5005]	Time 0.220 (0.504)	Data 0.000 (0.328)	Loss 3.4179 (3.6984)	Acc@1 31.250 (26.169)	Acc@5 53.906 (48.872)
Epoch: [1][1250/5005]	Time 0.289 (0.503)	Data 0.183 (0.327)	Loss 3.7734 (3.6948)	Acc@1 29.688 (26.213)	Acc@5 48.047 (48.926)
Epoch: [1][1300/5005]	Time 0.223 (0.503)	Data 0.000 (0.328)	Loss 3.8003 (3.6909)	Acc@1 21.875 (26.269)	Acc@5 45.703 (48.975)
Epoch: [1][1350/5005]	Time 0.222 (0.503)	Data 0.000 (0.327)	Loss 3.6231 (3.6867)	Acc@1 26.172 (26.347)	Acc@5 50.391 (49.081)
Epoch: [1][1400/5005]	Time 0.223 (0.504)	Data 0.000 (0.327)	Loss 3.5662 (3.6825)	Acc@1 28.516 (26.385)	Acc@5 51.953 (49.162)
Epoch: [1][1450/5005]	Time 0.222 (0.503)	Data 0.000 (0.326)	Loss 3.3616 (3.6791)	Acc@1 30.078 (26.438)	Acc@5 51.562 (49.232)
Epoch: [1][1500/5005]	Time 0.223 (0.503)	Data 0.000 (0.326)	Loss 3.8187 (3.6744)	Acc@1 25.391 (26.510)	Acc@5 47.266 (49.329)
Epoch: [1][1550/5005]	Time 0.571 (0.503)	Data 0.467 (0.327)	Loss 3.4620 (3.6699)	Acc@1 32.031 (26.572)	Acc@5 55.078 (49.422)
Epoch: [1][1600/5005]	Time 1.179 (0.503)	Data 1.072 (0.327)	Loss 3.3110 (3.6672)	Acc@1 29.297 (26.610)	Acc@5 55.469 (49.465)
Epoch: [1][1650/5005]	Time 0.617 (0.502)	Data 0.489 (0.328)	Loss 3.7515 (3.6638)	Acc@1 24.219 (26.681)	Acc@5 50.000 (49.526)
Epoch: [1][1700/5005]	Time 0.221 (0.502)	Data 0.000 (0.329)	Loss 3.5120 (3.6597)	Acc@1 30.859 (26.750)	Acc@5 53.906 (49.611)
Epoch: [1][1750/5005]	Time 0.223 (0.502)	Data 0.000 (0.330)	Loss 3.1542 (3.6561)	Acc@1 30.469 (26.807)	Acc@5 55.859 (49.682)
Epoch: [1][1800/5005]	Time 0.222 (0.502)	Data 0.000 (0.329)	Loss 3.4653 (3.6518)	Acc@1 32.812 (26.874)	Acc@5 56.250 (49.764)
Epoch: [1][1850/5005]	Time 0.191 (0.503)	Data 0.000 (0.329)	Loss 3.5548 (3.6474)	Acc@1 30.469 (26.947)	Acc@5 51.562 (49.848)
Epoch: [1][1900/5005]	Time 0.223 (0.502)	Data 0.000 (0.328)	Loss 3.6788 (3.6438)	Acc@1 23.047 (27.006)	Acc@5 46.875 (49.910)
Epoch: [1][1950/5005]	Time 0.221 (0.503)	Data 0.000 (0.328)	Loss 3.7593 (3.6396)	Acc@1 23.438 (27.063)	Acc@5 50.000 (49.976)
Epoch: [1][2000/5005]	Time 0.223 (0.502)	Data 0.000 (0.327)	Loss 3.5329 (3.6358)	Acc@1 28.125 (27.123)	Acc@5 54.297 (50.052)
Epoch: [1][2050/5005]	Time 0.221 (0.502)	Data 0.000 (0.327)	Loss 3.6789 (3.6327)	Acc@1 25.781 (27.164)	Acc@5 45.312 (50.102)
Epoch: [1][2100/5005]	Time 0.223 (0.502)	Data 0.000 (0.326)	Loss 3.4314 (3.6295)	Acc@1 30.859 (27.224)	Acc@5 53.125 (50.156)
Epoch: [1][2150/5005]	Time 0.220 (0.502)	Data 0.000 (0.326)	Loss 3.4925 (3.6258)	Acc@1 29.297 (27.280)	Acc@5 51.562 (50.222)
Epoch: [1][2200/5005]	Time 0.222 (0.501)	Data 0.000 (0.325)	Loss 3.4645 (3.6219)	Acc@1 29.297 (27.336)	Acc@5 53.125 (50.293)
Epoch: [1][2250/5005]	Time 0.787 (0.502)	Data 0.689 (0.326)	Loss 3.4241 (3.6179)	Acc@1 32.812 (27.404)	Acc@5 56.250 (50.366)
Epoch: [1][2300/5005]	Time 0.220 (0.502)	Data 0.000 (0.326)	Loss 3.2897 (3.6142)	Acc@1 34.766 (27.461)	Acc@5 55.859 (50.434)
Epoch: [1][2350/5005]	Time 1.618 (0.502)	Data 1.517 (0.326)	Loss 3.5789 (3.6106)	Acc@1 28.516 (27.516)	Acc@5 54.297 (50.496)
Epoch: [1][2400/5005]	Time 0.222 (0.502)	Data 0.000 (0.325)	Loss 3.4723 (3.6070)	Acc@1 32.031 (27.567)	Acc@5 55.078 (50.565)
Epoch: [1][2450/5005]	Time 1.425 (0.502)	Data 1.321 (0.325)	Loss 3.4959 (3.6043)	Acc@1 31.641 (27.609)	Acc@5 54.297 (50.612)
Epoch: [1][2500/5005]	Time 0.222 (0.502)	Data 0.000 (0.325)	Loss 3.5126 (3.6008)	Acc@1 30.078 (27.669)	Acc@5 51.172 (50.680)
Epoch: [1][2550/5005]	Time 1.427 (0.503)	Data 1.328 (0.325)	Loss 3.2253 (3.5976)	Acc@1 33.984 (27.717)	Acc@5 54.297 (50.734)
